region,municipality,year,"R&D expenditure (Mill. EUR) for ENTERPRISE SECTOR, TOTAL","R&D expenditure (Mill. EUR) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D expenditure (Mill. EUR) for HIGHER EDUCATION SECTOR, TOTAL",R&D expenditure (Mill. EUR) for Total,"R&D personnel (HC) for ENTERPRISE SECTOR, TOTAL","R&D personnel (HC) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D personnel (HC) for HIGHER EDUCATION SECTOR, TOTAL",R&D personnel (HC) for Total,"R&D in full-time equivalents (FTE) for ENTERPRISE SECTOR, TOTAL","R&D in full-time equivalents (FTE) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D in full-time equivalents (FTE) for HIGHER EDUCATION SECTOR, TOTAL",R&D in full-time equivalents (FTE) for Total
01,Total,2011,2111.5,428.1,562.8,3102.4,18441,6017,11153,35611,13862.5,4470.2,5918,24250.7
02,Total,2011,561.4,18.9,166.5,746.8,3481,308,3829,7618,2712.7,221.1,1962.5,4896.3
04,Total,2011,91.9,2.9,14.1,109,920,32,318,1270,604.6,29,187.4,821
05,Total,2011,39.7,34.8,10,84.5,620,521,321,1462,351.2,474.6,130.4,956.2
06,Total,2011,873.6,45.7,154.2,1073.5,5796,582,3657,10035,4711.5,482.4,1873.2,7067.2
07,Total,2011,49.4,2.7,13.4,65.4,670,59,248,977,441.7,47.1,144.2,633
08,Total,2011,19.6,...,5.9,26.7,304,...,224,539,192,...,84.3,284.8
09,Total,2011,48.5,3,37.6,89.1,544,44,734,1322,385.3,29,407.5,821.8
10,Total,2011,14.6,5.4,19.4,39.4,265,81,253,599,135.3,72.9,218.3,426.5
11,Total,2011,53.7,25,71.4,150.1,749,385,1742,2876,483.1,323.1,873.6,1679.8
12,Total,2011,22.9,13.6,51.1,87.6,372,184,957,1513,207.6,162,553.5,923.1
13,Total,2011,85.6,24.1,102.1,211.9,946,357,2109,3412,663.6,295.2,1164.4,2123.2
14,Total,2011,33.6,3.7,9.1,46.4,566,35,219,820,378.8,26.3,103.3,508.4
15,Total,2011,162.8,...,31.9,195.2,1273,...,733,2014,1162.6,...,356.3,1525.6
16,Total,2011,12.9,3.3,5.8,22,219,46,108,373,154.7,46.5,71.4,272.6
17,Total,2011,814.9,51.7,142,1008.6,4979,643,2792,8414,4247,548.9,1402.7,6198.6
18,Total,2011,12.2,3,10.2,25.4,226,37,216,479,107.6,36.8,109.4,253.8
19,Total,2011,34.3,16.4,23.5,74.1,507,220,660,1387,332.6,213.1,277.3,823
01,Total,2012,1965.8,403.6,592.8,2962.2,18537,5680,10678,34895,13810.1,4042.1,6060.9,23913.1
02,Total,2012,542.4,16.9,166.2,725.5,3606,253,3675,7534,2780.4,178.4,1959.7,4918.5
04,Total,2012,92.4,3,13.1,108.5,944,38,338,1320,659,32,166.7,857.7
05,Total,2012,40.1,36.7,8.8,85.6,620,517,325,1462,347.8,473.8,123.3,945
06,Total,2012,718.9,50,163.8,932.7,5139,548,3570,9257,4307.9,464.5,1868.8,6641.2
07,Total,2012,54.9,2.2,13,70.1,790,57,298,1145,526.8,46.9,144.3,718.1
08,Total,2012,16.1,0.7,6.6,23.4,243,14,247,504,167.3,7.5,86.3,261.1
09,Total,2012,64.9,3.5,43.7,112.1,562,36,748,1346,400.5,28,429.2,857.7
10,Total,2012,17,5.3,19.7,42,279,73,349,701,170.2,69.1,206.7,446
11,Total,2012,56.1,26.2,73.9,156.2,784,424,1560,2768,486.5,345.8,852,1684.3
12,Total,2012,21.7,13.7,51,86.4,384,180,1022,1586,206.2,155.8,536.7,898.7
13,Total,2012,98,24.4,104.1,226.5,1135,337,2117,3589,736.2,249.1,1181.3,2166.6
14,Total,2012,35.7,4.1,10,49.8,478,35,228,741,330.4,30.3,100.8,461.5
15,Total,2012,164.6,0.6,32.9,198.1,1280,13,765,2058,1178.6,8.7,372.7,1560
16,Total,2012,14.1,3.3,5.6,23,213,44,120,377,134.4,40.4,66.4,241.1
17,Total,2012,745,51.6,134.9,931.5,4671,601,3038,8309,4375.8,509.3,1584.7,6469.8
18,Total,2012,13.6,3.3,9.5,26.4,218,35,233,486,117.2,39.3,111,267.4
19,Total,2012,29.5,13.2,24.5,67.1,352,205,657,1214,211.3,184.6,287.5,683.3
01,Total,2013,2049.9,398.7,568.1,3016.7,19098,5584,10159,34841,13855.1,4067.3,5886.2,23808.6
02,Total,2013,471.5,15.1,168,654.6,3459,272,3887,7617,2746.2,177.5,2004.9,4928.6
04,Total,2013,83.2,2.7,12.7,98.6,922,41,312,1275,632.6,28.2,150.5,811.4
05,Total,2013,37.4,34.2,7.5,79.1,572,504,296,1373,335,449.5,114.1,898.6
06,Total,2013,722.1,47.4,157.5,927,5483,562,3539,9584,4428.9,491.6,1733.8,6654.3
07,Total,2013,56.7,2.3,12.3,71.3,733,68,239,1040,520.5,62.4,119.7,702.6
08,Total,2013,17.3,0.8,6.7,24.7,286,17,250,553,190.4,9.4,92,291.9
09,Total,2013,55.2,3.3,43.7,102.1,547,35,748,1329,425.8,31.1,432.4,889.3
10,Total,2013,15.9,4.1,19.9,39.9,250,56,376,682,151.2,57.8,221.4,430.4
11,Total,2013,53.1,25.9,70.2,149.2,666,382,1389,2437,452.6,312,769.3,1533.9
12,Total,2013,21.6,13.3,51,85.8,440,169,894,1503,229.5,146.4,509.3,885.2
13,Total,2013,91.2,22,103.8,217,1053,323,2102,3479,679.3,236.9,1184.3,2100.5
14,Total,2013,29.5,3.3,8.9,41.7,427,36,241,704,273.7,29.1,109.6,412.4
15,Total,2013,179.6,0.8,32.4,212.8,1100,13,727,1840,957.3,8.2,376.5,1342
16,Total,2013,12.9,3.1,...,20.9,212,41,...,353,134.1,37.7,...,224.4
17,Total,2013,667.1,51.6,133.1,851.8,5001,599,2960,8560,4042.7,525.9,1574.6,6143.2
18,Total,2013,12.5,2.9,...,25.2,235,33,...,485,114.8,34.3,...,243.6
19,Total,2013,22.4,12.3,27.1,61.8,287,181,706,1174,171.6,160.1,293.6,625.3
01,Total,2014,2035.6,398.7,586.5,3020.8,19109,5487,10684,35280,13733.5,4090.5,6087.8,23911.8
02,Total,2014,441.4,11.9,173.6,626.9,3367,227,3342,6935,2637.2,145.5,1949.4,4732.1
04,Total,2014,92.7,...,...,109.4,1001,...,...,1407,730,...,...,928.1
05,Total,2014,31.2,30.3,9.9,71.5,562,412,255,1229,296.8,398.5,114.7,810
06,Total,2014,631,35.3,166.1,832.5,5020,423,3333,8776,3994.3,356.4,1761.1,6111.7
07,Total,2014,58.1,-,11.7,71.1,748,-,256,1031,502.8,-,128.3,648.2
08,Total,2014,19.1,...,...,25.8,262,...,...,491,176,...,...,260.6
09,Total,2014,56.9,1.7,48.9,107.5,481,20,747,1247,387,18.1,465.5,870.6
10,Total,2014,17.3,...,...,42.7,271,...,...,706,156.8,...,...,439.4
11,Total,2014,48.8,24,71.2,144,652,359,1361,2372,422.8,294.9,774.5,1492.2
12,Total,2014,21.2,13,52.8,86.9,369,160,944,1473,208.9,141.7,534.2,884.9
13,Total,2014,85.5,20.1,104.9,210.5,949,257,1998,3204,655.3,198.3,1172.8,2026.4
14,Total,2014,29.9,1.9,8.1,39.8,399,24,220,642,267.5,21.3,107.4,396.2
15,Total,2014,177.5,0.6,33.4,211.5,1290,13,695,1997,1020,7.6,365.6,1393.2
16,Total,2014,11.6,...,...,20.1,176,...,...,301,128.8,...,...,218.5
17,Total,2014,614.8,48.7,138.9,802.4,4983,531,3069,8583,3998.4,478,1633,6109.4
18,Total,2014,11,2.4,7.3,20.7,208,33,209,450,93.1,25.3,91.9,210.3
19,Total,2014,23.1,13.7,28.1,64.8,308,189,603,1100,196.2,165.5,289,650.7
01,Total,2015,1977.5,347,599.7,2924.2,19577,4657,10636,34870,14465.5,3229.4,6075.9,23770.8
02,Total,2015,298.2,11.5,177.9,487.6,3130,222,3234,6586,2281,135.3,1844,4260.2
04,Total,2015,75.6,2,14.8,92.4,884,32,308,1224,655.2,19.5,166.1,840.9
05,Total,2015,32.7,28.6,9.7,71,507,498,272,1277,282.9,292.8,94.1,669.8
06,Total,2015,564.4,39.1,168.2,771.6,5764,439,3274,9477,4291.6,365.3,1744.8,6401.7
07,Total,2015,60,...,...,74.8,714,...,...,1004,520,...,...,658.5
08,Total,2015,24,3.2,4.1,31.3,269,59,130,458,181.9,39.8,48.4,270.1
09,Total,2015,69.4,0.9,44.9,115.3,540,16,670,1225,417.8,11.8,441.3,870.9
10,Total,2015,17.1,3.7,18.8,39.7,303,51,343,697,157.6,29.7,211.4,398.7
11,Total,2015,62.1,18.9,65.3,146.3,730,285,1216,2230,482.7,186.2,679.4,1348.3
12,Total,2015,21.2,10.2,47.8,79.2,387,115,927,1430,241.1,73.1,496.9,811.2
13,Total,2015,90.1,16.8,103.1,210,1022,263,2172,3457,710,176.3,1158.8,2045
14,Total,2015,34.9,1.1,7.2,43.2,377,25,160,562,273.8,12,75,360.9
15,Total,2015,192.9,0.4,34.1,227.4,1236,10,681,1927,959.2,4.9,359.5,1323.6
16,Total,2015,10.8,...,...,18.4,150,...,...,297,97.3,...,...,168.9
17,Total,2015,477.2,44.5,135,656.7,4449,475,3018,7942,3456.7,375.7,1612.4,5444.8
18,Total,2015,12.1,2.3,6.3,20.7,192,28,218,438,94.3,20.7,83.1,198.1
19,Total,2015,24.3,8.6,24.5,57.3,290,130,509,928,175.7,70.5,245.3,491.6
01,Total,2016,1965.1,340,592.6,2897.7,18403,4323,10235,32961,13613.6,2961.6,5890.9,22466
02,Total,2016,279.4,10.3,177.2,466.8,2847,181,3271,6299,2055.2,101.2,1836.6,3993
04,Total,2016,68.8,...,...,84.8,692,...,...,1008,518.5,...,...,692.5
05,Total,2016,27.8,31.7,8.5,68,433,387,191,1011,266.4,264.3,81.6,612.4
06,Total,2016,452.5,39.3,180.3,672.2,4866,455,3202,8523,3240.6,358.7,1659.9,5259.2
07,Total,2016,65.4,2.3,10.7,78.5,812,39,221,1072,564.5,24.2,107.7,696.4
08,Total,2016,18.1,3.7,4.6,26.4,257,49,134,440,164.8,33.8,59.6,258.2
09,Total,2016,67.8,0.9,40.4,109.1,684,14,615,1313,524.1,10.5,373.8,908.4
10,Total,2016,13.2,3,20.7,36.9,247,42,357,645,116,24.5,226.8,367.3
11,Total,2016,57.5,16.4,66.9,140.8,727,230,1250,2207,481.1,128,661.1,1270.2
12,Total,2016,26.8,8.8,52.9,88.5,405,121,939,1464,272.7,65,506.1,843.8
13,Total,2016,96.2,17.9,102.3,216.4,1053,250,2153,3457,779.1,171.2,1173.7,2124
14,Total,2016,33.7,1.4,7.1,42.2,361,21,127,509,282.3,15.3,71.4,369
15,Total,2016,172.5,0.8,34.6,208,1065,13,663,1742,848.2,9.8,351.8,1209.8
16,Total,2016,10.3,2.4,6.7,19.3,121,39,141,301,84.7,18.5,68.3,171.5
17,Total,2016,506.3,43.2,138.2,687.7,4584,440,2937,7961,3508.2,350.1,1565.5,5423.9
18,Total,2016,12.7,2.5,5.9,21.1,251,28,205,484,102.1,20.5,81.4,203.9
19,Total,2016,23.7,8.1,25.3,57.1,232,107,581,919,154.4,64.2,277,495.7
01,Total,2017,2056.3,399.2,611.8,3067.3,17875,4923,10451,33249,13732.6,3325.6,6093.7,23151.9
02,Total,2017,254.8,9.7,185.2,449.6,2565,202,3287,6054,1933.5,111.9,1900.6,3945.9
04,Total,2017,60.9,...,...,75.6,677,...,...,1013,519.4,...,...,685.7
05,Total,2017,27.2,23.7,9.9,60.7,392,311,250,954,234.8,196.5,110.5,541.8
06,Total,2017,445,33.6,181.9,660.5,4725,336,3340,8400,3368.9,278.9,1745.6,5393.3
07,Total,2017,64.9,1.7,13.1,79.6,820,38,258,1116,570,30.7,132.8,733.5
08,Total,2017,23,...,...,28.4,271,...,...,396,204.8,...,...,272
09,Total,2017,63.8,0.8,48,112.6,593,11,602,1205,491.9,8.5,470.1,970.5
10,Total,2017,13.6,3,22.5,39,245,38,363,646,120,24,245.5,389.5
11,Total,2017,63.3,17.5,74.7,155.5,712,272,1308,2291,502,156.1,723.2,1381.3
12,Total,2017,28.9,9.3,59.2,97.3,403,124,963,1490,254.5,69.8,551.3,875.6
13,Total,2017,98.2,19.1,109.5,226.9,1067,221,2216,3504,765.4,168.4,1203.5,2137.3
14,Total,2017,37.3,1.4,8,46.7,397,29,165,592,298.8,14.5,86.6,399.9
15,Total,2017,186.8,2.7,34.7,224.2,1224,11,627,1862,1055.3,8.5,347.4,1411.2
16,Total,2017,12.2,2.5,7.4,22.1,161,36,154,351,102.4,18.5,86.5,207.4
17,Total,2017,542.8,43.2,144.3,730.3,4699,440,2871,8010,3684.3,343.1,1668.1,5695.5
18,Total,2017,12.1,2.6,6.5,21.1,202,28,200,430,101.8,20.8,85.2,207.9
19,Total,2017,33.6,7.8,29.9,71.3,232,122,636,990,165.7,64.9,316.1,546.7
01,Total,2018,2136.3,406.9,634,3177.2,17901,5013,10910,33824,13916.4,3403.1,6250.6,23570
02,Total,2018,260.9,11.5,196.9,469.4,2670,223,3541,6434,2045.7,118,1991.5,4155.2
04,Total,2018,70.5,1.7,16.1,88.2,710,25,356,1091,506.9,15,182.6,704.5
05,Total,2018,29,22.7,13,64.6,423,272,262,957,254.9,168,144.5,567.4
06,Total,2018,486.7,32.9,184.7,704.3,4836,333,3325,8494,3566.1,271.1,1691.7,5528.9
07,Total,2018,62.2,2.1,14.3,78.6,643,43,298,984,496.8,33.8,171.3,701.9
08,Total,2018,21.9,...,...,28.2,256,...,...,395,168.4,...,...,252.3
09,Total,2018,67.3,0.8,47.2,115.3,493,14,603,1110,414.1,10,472.1,896.2
10,Total,2018,13.9,2.3,25.2,41.4,202,28,409,638,107,16.9,274.5,398.4
11,Total,2018,89.9,17.6,78.7,186.2,746,268,1383,2398,539.4,147,772.4,1458.8
12,Total,2018,28.5,9.5,61.4,99.4,348,120,1005,1474,230.2,67.2,567.9,865.3
13,Total,2018,112.1,20.4,111.8,244.3,1059,239,2268,3566,735.4,172.5,1215.8,2123.7
14,Total,2018,35.8,1.5,9,46.4,423,22,204,649,322.3,14.7,89.9,426.9
15,Total,2018,201.8,2.5,33.3,237.7,1272,11,621,1904,1106.9,7.2,359.1,1473.2
16,Total,2018,12.6,2.9,7.2,22.8,131,46,178,355,105.5,20.8,92.6,218.9
17,Total,2018,543.6,41.3,145.7,730.7,4608,416,2984,8008,3780.1,323.4,1638.2,5741.7
18,Total,2018,20.3,2.7,7.1,30.1,276,29,221,526,181.9,21,93.2,296.1
19,Total,2018,28.5,7.9,31.3,67.7,242,116,653,1011,175.8,62.2,319.4,557.3
01,Total,2019,2247.4,421.9,673,3342.3,18635,4962,11386,34983,14443.7,3343.5,6578,24365.1
02,Total,2019,265.7,10.7,200.9,477.3,2789,217,3548,6554,2069.9,112.2,1951.4,4133.5
04,Total,2019,74.2,1.2,17.5,92.8,666,13,379,1057,499.4,10.7,199.6,709.7
05,Total,2019,28.7,23.5,13.4,65.7,382,283,293,957,229.2,160.2,146.7,536.1
06,Total,2019,514.6,32.1,190.6,737.4,5204,310,3430,8944,3796.7,260,1777.4,5834.1
07,Total,2019,64.5,2.4,18.6,85.5,688,45,334,1066,532.1,36,168.3,736.4
08,Total,2019,32.8,0.2,8.3,41.3,305,6,148,459,207.9,2.5,95.9,306.4
09,Total,2019,74.6,0.6,49.2,124.4,515,8,650,1173,439.7,6.3,452.2,898.2
10,Total,2019,13,2.1,22.7,37.8,173,26,339,537,110.6,14.4,240.3,365.3
11,Total,2019,94.9,18.4,81.4,194.7,745,256,1429,2430,575.4,149.3,789,1513.6
12,Total,2019,34,11.3,65.1,110.4,376,135,1084,1594,265.2,75.2,590.2,930.6
13,Total,2019,118.5,22.2,112.2,252.9,1209,254,2344,3807,864.4,181.5,1205.1,2251
14,Total,2019,30.4,1.6,9.9,42,325,26,208,559,238.9,14.9,105.1,358.8
15,Total,2019,224.8,0.3,35.5,260.7,1273,7,659,1940,1114.4,4.8,377.7,1497
16,Total,2019,12.8,2.6,7.3,22.8,106,36,171,313,83,17.9,111.8,212.7
17,Total,2019,533.5,40.5,158.6,732.6,4866,401,3061,8329,3915.3,310,1796.5,6021.9
18,Total,2019,18.7,2.3,6.7,27.7,242,25,200,467,152.9,16.8,88.5,258.2
19,Total,2019,20.7,8.5,33.1,62.3,190,119,655,965,131.4,62.7,323.1,517.2
01,Total,2020,2375,412.7,655.9,3443.6,20052,5034,11447,36533,15035.2,3451.7,6502.7,24989.6
02,Total,2020,270.2,9.7,197.6,477.6,3183,199,3767,7149,2290.7,110.3,1911.9,4312.9
04,Total,2020,65.4,...,...,83.4,730,...,...,1118,491,...,...,705.9
05,Total,2020,37.3,23.3,13,73.6,400,292,277,970,274.2,195.5,139.6,609.3
06,Total,2020,551,30.3,190.3,771.6,5444,316,3475,9235,4033.3,257.1,1824.1,6114.6
07,Total,2020,61.9,2.2,27.8,91.8,769,47,394,1210,568.2,33.2,216.4,817.8
08,Total,2020,18.3,...,...,28.7,263,...,...,433,152.1,...,...,263.9
09,Total,2020,89.5,0.8,53.7,144,689,8,794,1491,550.9,7.9,458.6,1017.4
10,Total,2020,16.8,2.6,22.2,41.6,267,34,336,636,145.5,22.7,237,405.2
11,Total,2020,94.1,18.4,86.7,199.1,807,261,1464,2532,568,154.6,843.8,1566.3
12,Total,2020,39.3,8.5,64.7,112.5,561,122,1089,1771,340.3,69.3,593.8,1003.4
13,Total,2020,159.3,21,109,289.2,1431,259,2540,4230,1063.9,192.4,1264.7,2521
14,Total,2020,29.9,1.5,10,41.5,332,19,199,549,257.2,16.1,104.9,378.2
15,Total,2020,205.2,0.4,35.8,241.4,1400,10,679,2089,1195.7,5,387.5,1588.2
16,Total,2020,12.2,2.5,7.6,22.2,114,36,168,318,74.7,17.7,107.1,199.5
17,Total,2020,575.4,39,160.5,774.9,5221,423,3028,8673,4109.3,325.8,1729.4,6164.5
18,Total,2020,19,2.4,6.5,27.9,252,28,222,502,153.5,20.3,101.9,275.7
19,Total,2020,20.1,8.5,34.5,63.1,221,121,704,1045,147.2,75.2,325.2,547.6
01,Total,2021,2618,421,686.5,3725.4,21471,5216,12861,39548,16421.2,3552.7,6466.5,26440.4
02,Total,2021,318.9,9.6,187.6,516.1,3379,179,4148,7706,2370.8,100.6,1947.6,4419
04,Total,2021,59.8,1.8,16.1,77.7,696,24,397,1117,458.1,22.1,199,679.1
05,Total,2021,38.5,26,13,77.4,397,286,255,938,253.1,198.9,146.3,598.3
06,Total,2021,677.7,36.5,175.1,889.3,6311,311,3273,9895,4756.9,275.9,1541.4,6574.2
07,Total,2021,70.9,2.6,25.1,98.6,1027,68,397,1492,648.1,52.3,212.1,912.5
08,Total,2021,23.7,...,...,35.2,280,...,...,455,191.4,...,...,313.7
09,Total,2021,76.3,0.5,58.4,135.1,639,7,880,1526,477.3,5,471.3,953.6
10,Total,2021,12,3.7,26,41.8,220,39,362,621,112.2,28.3,245.5,386
11,Total,2021,104.8,21.1,91.4,217.3,1047,317,1693,3056,630.3,178.5,882.7,1691.5
12,Total,2021,45,8.3,66.6,119.8,651,116,1280,2048,375.4,62.2,632.9,1070.6
13,Total,2021,156.8,20.5,104,281.3,1637,233,2328,4198,1068.3,180.5,1119.7,2368.5
14,Total,2021,37.1,1.4,11.3,49.8,399,23,238,660,268.7,11.2,114.3,394.2
15,Total,2021,199.5,0.5,36.6,236.6,1385,10,777,2172,1156.7,5.3,398.9,1560.8
16,Total,2021,17.7,2.1,8.4,28.2,163,39,172,374,98.5,12.4,100.2,211.1
17,Total,2021,653.2,40,169.5,862.6,5876,414,3513,9803,4783.1,327.2,1866,6976.3
18,Total,2021,15.8,2.3,7.3,25.5,227,35,211,474,127.9,18.3,108.5,254.6
19,Total,2021,22.6,8.8,36.8,68.2,256,137,809,1202,186.7,75.7,388.8,651.1
01,Total,2022,2713.1,452,721.3,3886.4,21076,5379,13007,39462,16296.5,3663.4,6501.9,26461.8
02,Total,2022,317.9,10.6,214.6,543.1,2750,223,4185,7157,2098,116.6,2037.3,4251.9
04,Total,2022,54.6,2.3,19.2,76.1,693,27,426,1145,394,25.9,218.5,638.3
05,Total,2022,33.8,26.4,13.6,73.8,354,290,249,893,189.5,195.8,145.8,531.1
06,Total,2022,693.7,35,215.1,943.9,6038,323,3983,10343,4646,258.5,1992.3,6896.8
07,Total,2022,63.3,2.1,29.1,94.5,760,67,402,1228,582.4,43.8,222.5,848.7
08,Total,2022,26.9,0.4,11.2,38.5,266,5,164,435,190.5,5,119.1,314.6
09,Total,2022,101.7,0.3,62.6,164.6,559,3,883,1445,456,2.5,482.1,940.6
10,Total,2022,10.8,4.1,26.3,41.1,187,41,348,577,99.5,28.6,238.8,366.8
11,Total,2022,104.8,21.1,100.7,226.6,909,308,1721,2938,669.3,172.8,899.7,1741.8
12,Total,2022,47.5,9,71.4,127.9,486,134,1350,1970,343.8,64.7,655.3,1063.7
13,Total,2022,154.3,16.9,132.5,303.7,1293,183,2912,4388,983.2,134.7,1499.5,2617.4
14,Total,2022,32.6,1.2,14.2,48.1,421,19,276,717,277.1,11.8,143.2,432
15,Total,2022,266.1,0.4,41,307.4,1565,7,838,2410,1322.6,3.9,442,1768.5
16,Total,2022,19.4,1.9,9.9,31.1,146,36,200,382,91.9,13.4,118.6,223.9
17,Total,2022,707.2,42.1,170.9,920.1,5875,426,3327,9628,4774.7,326.7,1819.7,6921.1
18,Total,2022,...,...,8.3,26.9,...,...,251,501,...,...,129,275.5
19,Total,2022,27.3,8.7,39.6,75.6,301,127,808,1237,197.8,71.8,411.4,680.9
01,Total,2023,2936.8,497.1,781,4214.9,22340,5620,13564,41523,17361.2,3844.9,6749.7,27955.8
02,Total,2023,299.3,11.9,235.6,546.7,2771,192,4366,7329,2197,122.4,2175.3,4494.8
04,Total,2023,56.6,...,...,79,748,...,...,1199,453.4,...,...,704.7
05,Total,2023,32,27.2,15.2,74.3,383,281,311,975,201.1,196.3,189.1,586.6
06,Total,2023,773.7,36.2,228.3,1038.2,6557,329,4080,10966,5074.6,264.5,2076.6,7415.7
07,Total,2023,61.7,3,32.2,96.9,739,86,456,1281,533.1,61.2,262.4,856.7
08,Total,2023,28.8,...,...,40.8,313,...,...,503,176.5,...,...,307.2
09,Total,2023,97.6,0.4,67.4,165.4,594,4,946,1543,477.6,3,526.7,1007.4
10,Total,2023,11.8,4.2,27.8,43.8,222,40,339,601,119.2,27.7,234.7,381.5
11,Total,2023,93.1,23.3,95.5,211.9,933,308,1765,3006,662.2,179.5,899,1740.7
12,Total,2023,40.2,10.2,75.1,125.6,455,144,1349,1948,342.5,67.2,678.6,1088.3
13,Total,2023,168.1,17.6,134.4,320.1,1494,185,2823,4502,1081.1,131.6,1469.5,2682.2
14,Total,2023,40.2,1.6,13.8,55.6,441,25,259,725,307.2,16.1,145.3,468.6
15,Total,2023,284.5,0.4,44.9,329.8,1616,8,878,2502,1396.5,3.5,464.5,1864.5
16,Total,2023,25.2,2,10.8,37.9,168,33,210,412,115.8,14,128.5,258.3
17,Total,2023,710.1,46.7,194.8,951.6,5607,439,3902,9948,4527.5,345.5,2088.8,6961.7
18,Total,2023,15.9,2.6,10.6,29,158,37,229,424,92.2,18.8,126.5,237.5
19,Total,2023,19.9,9.4,40.1,69.4,203,139,776,1117,156.3,77,391.9,625.2
