Year,Region,Flow,Cumulative statistical value (euro) from the beginning of the year
202412,1 Uusimaa,Imports by countries of origin,42750000000
202412,1 Uusimaa,Exports by countries of destination,22418000000
202412,2 Varsinais-Suomi,Imports by countries of origin,4737000000
202412,2 Varsinais-Suomi,Exports by countries of destination,6718000000
202412,3 Satakunta,Imports by countries of origin,3332000000
202412,3 Satakunta,Exports by countries of destination,5926000000
202412,4 Kanta-Häme,Imports by countries of origin,1175000000
202412,5 Kanta-Häme,Exports by countries of destination,1832000000
202412,5 Pirkanmaa,Imports by countries of origin,4204000000
202412,5 Pirkanmaa,Exports by countries of destination,6540000000
202412,6 Päijät-Häme,Imports by countries of origin,1121000000
202412,7 Päijät-Häme,Exports by countries of destination,2210000000
202412,7 Kymenlaakso,Imports by countries of origin,1371000000
202412,7 Kymenlaakso,Exports by countries of destination,2736000000
202412,8 Etelä-Karjala,Imports by countries of origin,378000000
202412,8 Etelä-Karjala,Exports by countries of destination,2271000000
202412,9 Etelä-Savo,Imports by countries of origin,310000000
202412,9 Etelä-Savo,Exports by countries of destination,605000000
202412,10 Pohjois-Savo,Imports by countries of origin,525000000
202412,10 Pohjois-Savo,Exports by countries of destination,1755000000
202412,11 Pohjois-Karjala,Imports by countries of origin,404000000
202412,11 Pohjois-Karjala,Exports by countries of destination,975000000
202412,12 Keski-Suomi,Imports by countries of origin,1209000000
202412,12 Keski-Suomi,Exports by countries of destination,2835000000
202412,13 Etelä-Pohjanmaa,Imports by countries of origin,816000000
202412,13 Etelä-Pohjanmaa,Exports by countries of destination,782000000
202412,14 Pohjanmaa,Imports by countries of origin,2013000000
202412,14 Pohjanmaa,Exports by countries of destination,4526000000
202412,15 Keski-Pohjanmaa,Imports by countries of origin,1729000000
202412,15 Keski-Pohjanmaa,Exports by countries of destination,2489000000
202412,16 Pohjois-Pohjanmaa,Imports by countries of origin,2261000000
202412,16 Pohjois-Pohjanmaa,Exports by countries of destination,2137000000
202412,17 Kainuu,Imports by countries of origin,109000000
202412,17 Kainuu,Exports by countries of destination,558000000
202412,18 Lappi,Imports by countries of origin,2230000000
202412,18 Lappi,Exports by countries of destination,4065000000
202412,19 Ahvenanmaa,Imports by countries of origin,284000000
202412,19 Ahvenanmaa,Exports by countries of destination,122000000
202412,20 Unknown,Imports by countries of origin,3599000000
202412,20 Unknown,Exports by countries of destination,606000000
202412,21 Total,Imports by countries of origin,74557000000
202412,21 Total,Exports by countries of destination,72104000000
202312,1 Uusimaa,Imports by countries of origin,45234000000
202312,1 Uusimaa,Exports by countries of destination,25849000000
202312,2 Varsinais-Suomi,Imports by countries of origin,4900000000
202312,2 Varsinais-Suomi,Exports by countries of destination,6987000000
202312,3 Satakunta,Imports by countries of origin,2629000000
202312,3 Satakunta,Exports by countries of destination,4152000000
202312,4 Kanta-Häme,Imports by countries of origin,1094000000
202312,4 Kanta-Häme,Exports by countries of destination,1791000000
202312,5 Pirkanmaa,Imports by countries of origin,4227000000
202312,5 Pirkanmaa,Exports by countries of destination,8825000000
202312,6 Päijät-Häme,Imports by countries of origin,1214000000
202312,6 Päijät-Häme,Exports by countries of destination,2144000000
202312,7 Kymenlaakso,Imports by countries of origin,1069000000
202312,7 Kymenlaakso,Exports by countries of destination,1986000000
202312,8 Etelä-Karjala,Imports by countries of origin,454000000
202312,8 Etelä-Karjala,Exports by countries of destination,1822000000
202312,9 Etelä-Savo,Imports by countries of origin,325000000
202312,9 Etelä-Savo,Exports by countries of destination,497000000
202312,10 Pohjois-Savo,Imports by countries of origin,613000000
202312,10 Pohjois-Savo,Exports by countries of destination,1898000000
202312,11 Pohjois-Karjala,Imports by countries of origin,429000000
202312,11 Pohjois-Karjala,Exports by countries of destination,993000000
202312,12 Keski-Suomi,Imports by countries of origin,1305000000
202312,12 Keski-Suomi,Exports by countries of destination,2769000000
202312,13 Etelä-Pohjanmaa,Imports by countries of origin,873000000
202312,13 Etelä-Pohjanmaa,Exports by countries of destination,839000000
202312,14 Pohjanmaa,Imports by countries of origin,2017000000
202312,14 Pohjanmaa,Exports by countries of destination,3718000000
202312,15 Keski-Pohjanmaa,Imports by countries of origin,2340000000
202312,15 Keski-Pohjanmaa,Exports by countries of destination,3478000000
202312,16 Pohjois-Pohjanmaa,Imports by countries of origin,2163000000
202312,16 Pohjois-Pohjanmaa,Exports by countries of destination,2167000000
202312,17 Kainuu,Imports by countries of origin,121000000
202312,17 Kainuu,Exports by countries of destination,383000000
202312,18 Lappi,Imports by countries of origin,2512000000
202312,18 Lappi,Exports by countries of destination,4627000000
202312,19 Ahvenanmaa,Imports by countries of origin,375000000
202312,19 Ahvenanmaa,Exports by countries of destination,184000000
202312,20 Unknown,Imports by countries of origin,2955000000
202312,20 Unknown,Exports by countries of destination,1251000000
202312,21 Total,Imports by countries of origin,76849000000
202312,21 Total,Exports by countries of destination,76362000000
202212,1 Uusimaa,Imports by countries of origin,52476000000
202212,1 Uusimaa,Exports by countries of destination,23877000000
202212,2 Varsinais-Suomi,Imports by countries of origin,5798000000
202212,2 Varsinais-Suomi,Exports by countries of destination,8734000000
202212,3 Satakunta,Imports by countries of origin,2963000000
202212,3 Satakunta,Exports by countries of destination,6587000000
202212,4 Kanta-Häme,Imports by countries of origin,1096000000
202212,4 Kanta-Häme,Exports by countries of destination,1913000000
202212,5 Pirkanmaa,Imports by countries of origin,4760000000
202212,5 Pirkanmaa,Exports by countries of destination,6985000000
202212,6 Päijät-Häme,Imports by countries of origin,1382000000
202212,6 Päijät-Häme,Exports by countries of destination,2378000000
202212,7 Kymenlaakso,Imports by countries of origin,1111000000
202212,7 Kymenlaakso,Exports by countries of destination,3310000000
202212,8 Etelä-Karjala,Imports by countries of origin,517000000
202212,8 Etelä-Karjala,Exports by countries of destination,2985000000
202212,9 Etelä-Savo,Imports by countries of origin,316000000
202212,9 Etelä-Savo,Exports by countries of destination,516000000
202212,10 Pohjois-Savo,Imports by countries of origin,655000000
202212,10 Pohjois-Savo,Exports by countries of destination,2157000000
202212,11 Pohjois-Karjala,Imports by countries of origin,443000000
202212,11 Pohjois-Karjala,Exports by countries of destination,1207000000
202212,12 Keski-Suomi,Imports by countries of origin,1233000000
202212,12 Keski-Suomi,Exports by countries of destination,2996000000
202212,13 Etelä-Pohjanmaa,Imports by countries of origin,942000000
202212,13 Etelä-Pohjanmaa,Exports by countries of destination,843000000
202212,14 Pohjanmaa,Imports by countries of origin,2300000000
202212,14 Pohjanmaa,Exports by countries of destination,3917000000
202212,15 Keski-Pohjanmaa,Imports by countries of origin,3554000000
202212,15 Keski-Pohjanmaa,Exports by countries of destination,2862000000
202212,16 Pohjois-Pohjanmaa,Imports by countries of origin,2785000000
202212,16 Pohjois-Pohjanmaa,Exports by countries of destination,2463000000
202212,17 Kainuu,Imports by countries of origin,110000000
202212,17 Kainuu,Exports by countries of destination,814000000
202212,18 Lappi,Imports by countries of origin,2996000000
202212,18 Lappi,Exports by countries of destination,5127000000
202212,19 Ahvenanmaa,Imports by countries of origin,1098000000
202212,19 Ahvenanmaa,Exports by countries of destination,163000000
202212,20 Unknown,Imports by countries of origin,5936000000
202212,20 Unknown,Exports by countries of destination,2051000000
202212,21 Total,Imports by countries of origin,92469000000
202212,21 Total,Exports by countries of destination,81885000000
202112,1 Uusimaa,Imports by countries of origin,40962000000
202112,1 Uusimaa,Exports by countries of destination,19341000000
202112,2 Varsinais-Suomi,Imports by countries of origin,5771000000
202112,2 Varsinais-Suomi,Exports by countries of destination,8039000000
202112,3 Satakunta,Imports by countries of origin,2281000000
202112,3 Satakunta,Exports by countries of destination,4859000000
202112,4 Kanta-Häme,Imports by countries of origin,1131000000
202112,4 Kanta-Häme,Exports by countries of destination,1829000000
202112,5 Pirkanmaa,Imports by countries of origin,4303000000
202112,5 Pirkanmaa,Exports by countries of destination,5927000000
202112,6 Päijät-Häme,Imports by countries of origin,1218000000
202112,6 Päijät-Häme,Exports by countries of destination,2054000000
202112,7 Kymenlaakso,Imports by countries of origin,1007000000
202112,7 Kymenlaakso,Exports by countries of destination,3181000000
202112,8 Etelä-Karjala,Imports by countries of origin,523000000
202112,8 Etelä-Karjala,Exports by countries of destination,2583000000
202112,9 Etelä-Savo,Imports by countries of origin,311000000
202112,9 Etelä-Savo,Exports by countries of destination,478000000
202112,10 Pohjois-Savo,Imports by countries of origin,641000000
202112,10 Pohjois-Savo,Exports by countries of destination,1925000000
202112,11 Pohjois-Karjala,Imports by countries of origin,445000000
202112,11 Pohjois-Karjala,Exports by countries of destination,1029000000
202112,12 Keski-Suomi,Imports by countries of origin,1281000000
202112,12 Keski-Suomi,Exports by countries of destination,2850000000
202112,13 Etelä-Pohjanmaa,Imports by countries of origin,821000000
202112,13 Etelä-Pohjanmaa,Exports by countries of destination,773000000
202112,14 Pohjanmaa,Imports by countries of origin,1938000000
202112,14 Pohjanmaa,Exports by countries of destination,3656000000
202112,15 Keski-Pohjanmaa,Imports by countries of origin,2926000000
202112,15 Keski-Pohjanmaa,Exports by countries of destination,2373000000
202112,16 Pohjois-Pohjanmaa,Imports by countries of origin,2361000000
202112,16 Pohjois-Pohjanmaa,Exports by countries of destination,2195000000
202112,17 Kainuu,Imports by countries of origin,94000000
202112,17 Kainuu,Exports by countries of destination,520000000
202112,18 Lappi,Imports by countries of origin,2409000000
202112,18 Lappi,Exports by countries of destination,4244000000
202112,19 Ahvenanmaa,Imports by countries of origin,385000000
202112,19 Ahvenanmaa,Exports by countries of destination,113000000
202112,20 Unknown,Imports by countries of origin,2127000000
202112,20 Unknown,Exports by countries of destination,938000000
202112,21 Total,Imports by countries of origin,72936000000
202112,21 Total,Exports by countries of destination,68908000000
202012,1 Uusimaa,Imports by countries of origin,33873000000
202012,1 Uusimaa,Exports by countries of destination,16571000000
202012,2 Varsinais-Suomi,Imports by countries of origin,4825000000
202012,2 Varsinais-Suomi,Exports by countries of destination,6916000000
202012,3 Satakunta,Imports by countries of origin,1842000000
202012,3 Satakunta,Exports by countries of destination,3957000000
202012,4 Kanta-Häme,Imports by countries of origin,1003000000
202012,4 Kanta-Häme,Exports by countries of destination,1316000000
202012,5 Pirkanmaa,Imports by countries of origin,3527000000
202012,5 Pirkanmaa,Exports by countries of destination,4871000000
202012,6 Päijät-Häme,Imports by countries of origin,1145000000
202012,6 Päijät-Häme,Exports by countries of destination,1648000000
202012,7 Kymenlaakso,Imports by countries of origin,856000000
202012,7 Kymenlaakso,Exports by countries of destination,3003000000
202012,8 Etelä-Karjala,Imports by countries of origin,457000000
202012,8 Etelä-Karjala,Exports by countries of destination,1944000000
202012,9 Etelä-Savo,Imports by countries of origin,286000000
202012,9 Etelä-Savo,Exports by countries of destination,398000000
202012,10 Pohjois-Savo,Imports by countries of origin,564000000
202012,10 Pohjois-Savo,Exports by countries of destination,1457000000
202012,11 Pohjois-Karjala,Imports by countries of origin,381000000
202012,11 Pohjois-Karjala,Exports by countries of destination,810000000
202012,12 Keski-Suomi,Imports by countries of origin,1009000000
202012,12 Keski-Suomi,Exports by countries of destination,2475000000
202012,13 Etelä-Pohjanmaa,Imports by countries of origin,696000000
202012,13 Etelä-Pohjanmaa,Exports by countries of destination,636000000
202012,14 Pohjanmaa,Imports by countries of origin,1284000000
202012,14 Pohjanmaa,Exports by countries of destination,3226000000
202012,15 Keski-Pohjanmaa,Imports by countries of origin,2029000000
202012,15 Keski-Pohjanmaa,Exports by countries of destination,1893000000
202012,16 Pohjois-Pohjanmaa,Imports by countries of origin,1857000000
202012,16 Pohjois-Pohjanmaa,Exports by countries of destination,1621000000
202012,17 Kainuu,Imports by countries of origin,121000000
202012,17 Kainuu,Exports by countries of destination,395000000
202012,18 Lappi,Imports by countries of origin,1601000000
202012,18 Lappi,Exports by countries of destination,3446000000
202012,19 Ahvenanmaa,Imports by countries of origin,309000000
202012,19 Ahvenanmaa,Exports by countries of destination,85000000
202012,20 Unknown,Imports by countries of origin,2103000000
202012,20 Unknown,Exports by countries of destination,770000000
202012,21 Total,Imports by countries of origin,59768000000
202012,21 Total,Exports by countries of destination,57440000000
201912,1 Uusimaa,Imports by countries of origin,38416000000
201912,1 Uusimaa,Exports by countries of destination,19361000000
201912,2 Varsinais-Suomi,Imports by countries of origin,5486000000
201912,2 Varsinais-Suomi,Exports by countries of destination,7450000000
201912,3 Satakunta,Imports by countries of origin,1735000000
201912,3 Satakunta,Exports by countries of destination,3982000000
201912,4 Kanta-Häme,Imports by countries of origin,972000000
201912,4 Kanta-Häme,Exports by countries of destination,1394000000
201912,5 Pirkanmaa,Imports by countries of origin,3724000000
201912,5 Pirkanmaa,Exports by countries of destination,5261000000
201912,6 Päijät-Häme,Imports by countries of origin,1217000000
201912,6 Päijät-Häme,Exports by countries of destination,1897000000
201912,7 Kymenlaakso,Imports by countries of origin,1050000000
201912,7 Kymenlaakso,Exports by countries of destination,4676000000
201912,8 Etelä-Karjala,Imports by countries of origin,508000000
201912,8 Etelä-Karjala,Exports by countries of destination,2106000000
201912,9 Etelä-Savo,Imports by countries of origin,290000000
201912,9 Etelä-Savo,Exports by countries of destination,374000000
201912,10 Pohjois-Savo,Imports by countries of origin,565000000
201912,10 Pohjois-Savo,Exports by countries of destination,1578000000
201912,11 Pohjois-Karjala,Imports by countries of origin,389000000
201912,11 Pohjois-Karjala,Exports by countries of destination,921000000
201912,12 Keski-Suomi,Imports by countries of origin,1019000000
201912,12 Keski-Suomi,Exports by countries of destination,2687000000
201912,13 Etelä-Pohjanmaa,Imports by countries of origin,629000000
201912,13 Etelä-Pohjanmaa,Exports by countries of destination,649000000
201912,14 Pohjanmaa,Imports by countries of origin,1335000000
201912,14 Pohjanmaa,Exports by countries of destination,3550000000
201912,15 Keski-Pohjanmaa,Imports by countries of origin,1802000000
201912,15 Keski-Pohjanmaa,Exports by countries of destination,1715000000
201912,16 Pohjois-Pohjanmaa,Imports by countries of origin,2190000000
201912,16 Pohjois-Pohjanmaa,Exports by countries of destination,2282000000
201912,17 Kainuu,Imports by countries of origin,98000000
201912,17 Kainuu,Exports by countries of destination,440000000
201912,18 Lappi,Imports by countries of origin,1971000000
201912,18 Lappi,Exports by countries of destination,3818000000
201912,19 Ahvenanmaa,Imports by countries of origin,398000000
201912,19 Ahvenanmaa,Exports by countries of destination,104000000
201912,20 Unknown,Imports by countries of origin,2056000000
201912,20 Unknown,Exports by countries of destination,806000000
201912,21 Total,Imports by countries of origin,65851000000
201912,21 Total,Exports by countries of destination,65054000000
201812,1 Uusimaa,Imports by countries of origin,38838000000
201812,1 Uusimaa,Exports by countries of destination,18717000000
201812,2 Varsinais-Suomi,Imports by countries of origin,5232000000
201812,2 Varsinais-Suomi,Exports by countries of destination,6370000000
201812,3 Satakunta,Imports by countries of origin,1694000000
201812,3 Satakunta,Exports by countries of destination,4246000000
201812,4 Kanta-Häme,Imports by countries of origin,937000000
201812,4 Kanta-Häme,Exports by countries of destination,1396000000
201812,5 Pirkanmaa,Imports by countries of origin,3700000000
201812,5 Pirkanmaa,Exports by countries of destination,4715000000
201812,6 Päijät-Häme,Imports by countries of origin,1231000000
201812,6 Päijät-Häme,Exports by countries of destination,1946000000
201812,7 Kymenlaakso,Imports by countries of origin,1772000000
201812,7 Kymenlaakso,Exports by countries of destination,4020000000
201812,8 Etelä-Karjala,Imports by countries of origin,530000000
201812,8 Etelä-Karjala,Exports by countries of destination,2490000000
201812,9 Etelä-Savo,Imports by countries of origin,285000000
201812,9 Etelä-Savo,Exports by countries of destination,392000000
201812,10 Pohjois-Savo,Imports by countries of origin,526000000
201812,10 Pohjois-Savo,Exports by countries of destination,1507000000
201812,11 Pohjois-Karjala,Imports by countries of origin,368000000
201812,11 Pohjois-Karjala,Exports by countries of destination,972000000
201812,12 Keski-Suomi,Imports by countries of origin,923000000
201812,12 Keski-Suomi,Exports by countries of destination,2923000000
201812,13 Etelä-Pohjanmaa,Imports by countries of origin,575000000
201812,13 Etelä-Pohjanmaa,Exports by countries of destination,632000000
201812,14 Pohjanmaa,Imports by countries of origin,1269000000
201812,14 Pohjanmaa,Exports by countries of destination,3508000000
201812,15 Keski-Pohjanmaa,Imports by countries of origin,2387000000
201812,15 Keski-Pohjanmaa,Exports by countries of destination,1865000000
201812,16 Pohjois-Pohjanmaa,Imports by countries of origin,2073000000
201812,16 Pohjois-Pohjanmaa,Exports by countries of destination,2319000000
201812,17 Kainuu,Imports by countries of origin,102000000
201812,17 Kainuu,Exports by countries of destination,439000000
201812,18 Lappi,Imports by countries of origin,1992000000
201812,18 Lappi,Exports by countries of destination,4329000000
201812,19 Ahvenanmaa,Imports by countries of origin,243000000
201812,19 Ahvenanmaa,Exports by countries of destination,94000000
201812,20 Unknown,Imports by countries of origin,1909000000
201812,20 Unknown,Exports by countries of destination,801000000
201812,21 Total,Imports by countries of origin,66585000000
201812,21 Total,Exports by countries of destination,63682000000
201712,1 Uusimaa,Imports by countries of origin,36814000000
201712,1 Uusimaa,Exports by countries of destination,18255000000
201712,2 Varsinais-Suomi,Imports by countries of origin,4510000000
201712,2 Varsinais-Suomi,Exports by countries of destination,5763000000
201712,3 Satakunta,Imports by countries of origin,1747000000
201712,3 Satakunta,Exports by countries of destination,4149000000
201712,4 Kanta-Häme,Imports by countries of origin,807000000
201712,4 Kanta-Häme,Exports by countries of destination,1459000000
201712,5 Pirkanmaa,Imports by countries of origin,3497000000
201712,5 Pirkanmaa,Exports by countries of destination,4775000000
201712,6 Päijät-Häme,Imports by countries of origin,1137000000
201712,6 Päijät-Häme,Exports by countries of destination,1818000000
201712,7 Kymenlaakso,Imports by countries of origin,2002000000
201712,7 Kymenlaakso,Exports by countries of destination,3387000000
201712,8 Etelä-Karjala,Imports by countries of origin,393000000
201712,8 Etelä-Karjala,Exports by countries of destination,2177000000
201712,9 Etelä-Savo,Imports by countries of origin,277000000
201712,9 Etelä-Savo,Exports by countries of destination,410000000
201712,10 Pohjois-Savo,Imports by countries of origin,531000000
201712,10 Pohjois-Savo,Exports by countries of destination,1591000000
201712,11 Pohjois-Karjala,Imports by countries of origin,326000000
201712,11 Pohjois-Karjala,Exports by countries of destination,899000000
201712,12 Keski-Suomi,Imports by countries of origin,870000000
201712,12 Keski-Suomi,Exports by countries of destination,2394000000
201712,13 Etelä-Pohjanmaa,Imports by countries of origin,551000000
201712,13 Etelä-Pohjanmaa,Exports by countries of destination,612000000
201712,14 Pohjanmaa,Imports by countries of origin,1385000000
201712,14 Pohjanmaa,Exports by countries of destination,3507000000
201712,15 Keski-Pohjanmaa,Imports by countries of origin,2100000000
201712,15 Keski-Pohjanmaa,Exports by countries of destination,1611000000
201712,16 Pohjois-Pohjanmaa,Imports by countries of origin,1790000000
201712,16 Pohjois-Pohjanmaa,Exports by countries of destination,1877000000
201712,17 Kainuu,Imports by countries of origin,91000000
201712,17 Kainuu,Exports by countries of destination,354000000
201712,18 Lappi,Imports by countries of origin,1754000000
201712,18 Lappi,Exports by countries of destination,3915000000
201712,19 Ahvenanmaa,Imports by countries of origin,347000000
201712,19 Ahvenanmaa,Exports by countries of destination,96000000
201712,20 Unknown,Imports by countries of origin,1539000000
201712,20 Unknown,Exports by countries of destination,661000000
201712,21 Total,Imports by countries of origin,62469000000
201712,21 Total,Exports by countries of destination,59711000000
201612,1 Uusimaa,Imports by countries of origin,34441000000
201612,1 Uusimaa,Exports by countries of destination,15850000000
201612,2 Varsinais-Suomi,Imports by countries of origin,3033000000
201612,2 Varsinais-Suomi,Exports by countries of destination,4000000000
201612,3 Satakunta,Imports by countries of origin,1247000000
201612,3 Satakunta,Exports by countries of destination,3098000000
201612,4 Kanta-Häme,Imports by countries of origin,727000000
201612,4 Kanta-Häme,Exports by countries of destination,1367000000
201612,5 Pirkanmaa,Imports by countries of origin,3318000000
201612,5 Pirkanmaa,Exports by countries of destination,4138000000
201612,6 Päijät-Häme,Imports by countries of origin,1074000000
201612,6 Päijät-Häme,Exports by countries of destination,1670000000
201612,7 Kymenlaakso,Imports by countries of origin,867000000
201612,7 Kymenlaakso,Exports by countries of destination,4661000000
201612,8 Etelä-Karjala,Imports by countries of origin,338000000
201612,8 Etelä-Karjala,Exports by countries of destination,1397000000
201612,9 Etelä-Savo,Imports by countries of origin,260000000
201612,9 Etelä-Savo,Exports by countries of destination,422000000
201612,10 Pohjois-Savo,Imports by countries of origin,515000000
201612,10 Pohjois-Savo,Exports by countries of destination,1177000000
201612,11 Pohjois-Karjala,Imports by countries of origin,299000000
201612,11 Pohjois-Karjala,Exports by countries of destination,755000000
201612,12 Keski-Suomi,Imports by countries of origin,775000000
201612,12 Keski-Suomi,Exports by countries of destination,2159000000
201612,13 Etelä-Pohjanmaa,Imports by countries of origin,503000000
201612,13 Etelä-Pohjanmaa,Exports by countries of destination,561000000
201612,14 Pohjanmaa,Imports by countries of origin,1382000000
201612,14 Pohjanmaa,Exports by countries of destination,3122000000
201612,15 Keski-Pohjanmaa,Imports by countries of origin,1415000000
201612,15 Keski-Pohjanmaa,Exports by countries of destination,1806000000
201612,16 Pohjois-Pohjanmaa,Imports by countries of origin,1421000000
201612,16 Pohjois-Pohjanmaa,Exports by countries of destination,1337000000
201612,17 Kainuu,Imports by countries of origin,74000000
201612,17 Kainuu,Exports by countries of destination,211000000
201612,18 Lappi,Imports by countries of origin,1595000000
201612,18 Lappi,Exports by countries of destination,3553000000
201612,19 Ahvenanmaa,Imports by countries of origin,480000000
201612,19 Ahvenanmaa,Exports by countries of destination,83000000
201612,20 Unknown,Imports by countries of origin,1238000000
201612,20 Unknown,Exports by countries of destination,513000000
201612,21 Total,Imports by countries of origin,55003000000
201612,21 Total,Exports by countries of destination,51878000000
201512,1 Uusimaa,Imports by countries of origin,33474000000
201512,1 Uusimaa,Exports by countries of destination,16912000000
201512,2 Varsinais-Suomi,Imports by countries of origin,3431000000
201512,2 Varsinais-Suomi,Exports by countries of destination,4647000000
201512,3 Satakunta,Imports by countries of origin,1207000000
201512,3 Satakunta,Exports by countries of destination,3348000000
201512,4 Kanta-Häme,Imports by countries of origin,722000000
201512,4 Kanta-Häme,Exports by countries of destination,1289000000
201512,5 Pirkanmaa,Imports by countries of origin,3159000000
201512,5 Pirkanmaa,Exports by countries of destination,4161000000
201512,6 Päijät-Häme,Imports by countries of origin,1105000000
201512,6 Päijät-Häme,Exports by countries of destination,1697000000
201512,7 Kymenlaakso,Imports by countries of origin,898000000
201512,7 Kymenlaakso,Exports by countries of destination,4766000000
201512,8 Etelä-Karjala,Imports by countries of origin,377000000
201512,8 Etelä-Karjala,Exports by countries of destination,1277000000
201512,9 Etelä-Savo,Imports by countries of origin,246000000
201512,9 Etelä-Savo,Exports by countries of destination,387000000
201512,10 Pohjois-Savo,Imports by countries of origin,511000000
201512,10 Pohjois-Savo,Exports by countries of destination,1135000000
201512,11 Pohjois-Karjala,Imports by countries of origin,274000000
201512,11 Pohjois-Karjala,Exports by countries of destination,766000000
201512,12 Keski-Suomi,Imports by countries of origin,754000000
201512,12 Keski-Suomi,Exports by countries of destination,2135000000
201512,13 Etelä-Pohjanmaa,Imports by countries of origin,535000000
201512,13 Etelä-Pohjanmaa,Exports by countries of destination,553000000
201512,14 Pohjanmaa,Imports by countries of origin,1310000000
201512,14 Pohjanmaa,Exports by countries of destination,3129000000
201512,15 Keski-Pohjanmaa,Imports by countries of origin,1517000000
201512,15 Keski-Pohjanmaa,Exports by countries of destination,1729000000
201512,16 Pohjois-Pohjanmaa,Imports by countries of origin,1443000000
201512,16 Pohjois-Pohjanmaa,Exports by countries of destination,1396000000
201512,17 Kainuu,Imports by countries of origin,51000000
201512,17 Kainuu,Exports by countries of destination,145000000
201512,18 Lappi,Imports by countries of origin,1695000000
201512,18 Lappi,Exports by countries of destination,3875000000
201512,19 Ahvenanmaa,Imports by countries of origin,559000000
201512,19 Ahvenanmaa,Exports by countries of destination,103000000
201512,20 Unknown,Imports by countries of origin,1226000000
201512,20 Unknown,Exports by countries of destination,429000000
201512,21 Total,Imports by countries of origin,54493000000
201512,21 Total,Exports by countries of destination,53880000000