Region,Year,Unemployed jobseekers,Vacancies
01,2008,41777,11294
01,2009,57263,7083
01,2010,60495,7830
01,2011,55729,10660
01,2012,57845,10939
01,2013,70784,10861
01,2014,82950,11087
01,2015,93828,11964
01,2016,95757,13395
01,2017,84747,13589
01,2018,73986,17009
01,2019,70693,20421
01,2020,113170,16011
01,2021,105156,21167
01,2022,84131,27106
01,2023,86776,18362
01,2024,98067,9867
01,2025,112040,8079
02,2008,14540,2594
02,2009,20449,1564
02,2010,22597,1822
02,2011,21429,2350
02,2012,22254,2332
02,2013,26114,2270
02,2014,28426,2498
02,2015,30054,2415
02,2016,29733,2766
02,2017,25434,3753
02,2018,21394,4762
02,2019,19616,5074
02,2020,28283,4405
02,2021,23952,6795
02,2022,20767,8604
02,2023,20913,5755
02,2024,23609,3172
02,2025,27003,2571
04,2008,9628,1504
04,2009,11652,1163
04,2010,11551,1046
04,2011,10907,1321
04,2012,10946,1336
04,2013,12104,1173
04,2014,13151,1072
04,2015,14273,1239
04,2016,14306,1355
04,2017,11934,1802
04,2018,9656,1954
04,2019,9358,1935
04,2020,12229,1716
04,2021,10043,2427
04,2022,8700,2900
04,2023,8929,2157
04,2024,9828,1632
04,2025,10966,1450
05,2008,6077,1158
05,2009,8305,869
05,2010,8436,1004
05,2011,7508,1146
05,2012,7412,1060
05,2013,8580,990
05,2014,9266,853
05,2015,9899,914
05,2016,9519,861
05,2017,8372,1075
05,2018,7206,1444
05,2019,6556,1668
05,2020,8739,1406
05,2021,8107,2358
05,2022,6915,3101
05,2023,7091,2087
05,2024,7682,1145
05,2025,8675,1012
06,2008,19806,2769
06,2009,28066,1923
06,2010,28485,2006
06,2011,25329,2738
06,2012,25921,2846
06,2013,31486,2690
06,2014,34742,2623
06,2015,37051,2862
06,2016,37647,3480
06,2017,30068,4790
06,2018,23297,5306
06,2019,22632,5711
06,2020,32555,5291
06,2021,26327,8736
06,2022,21314,10270
06,2023,23309,6520
06,2024,28164,3761
06,2025,31190,3495
07,2008,9551,1302
07,2009,12890,1011
07,2010,12799,1001
07,2011,11487,1196
07,2012,11827,1161
07,2013,13433,961
07,2014,14937,989
07,2015,15723,1139
07,2016,14749,1199
07,2017,13595,1437
07,2018,12043,1742
07,2019,11001,1963
07,2020,14842,1764
07,2021,13218,2708
07,2022,11242,3019
07,2023,10923,1881
07,2024,12010,1031
07,2025,13518,876
08,2008,8256,1103
08,2009,10216,857
08,2010,10163,828
08,2011,9788,962
08,2012,10308,1062
08,2013,11143,971
08,2014,12135,860
08,2015,12882,934
08,2016,12699,792
08,2017,11378,849
08,2018,9561,1150
08,2019,8783,1216
08,2020,10774,1141
08,2021,9163,1665
08,2022,7920,1823
08,2023,8078,1213
08,2024,8820,813
08,2025,9777,887
09,2008,6414,652
09,2009,7940,467
09,2010,7606,476
09,2011,7150,689
09,2012,7280,711
09,2013,7787,720
09,2014,8554,643
09,2015,9096,691
09,2016,9153,685
09,2017,8234,725
09,2018,6848,872
09,2019,6182,921
09,2020,8220,943
09,2021,6687,1187
09,2022,5887,1336
09,2023,6216,826
09,2024,6926,556
09,2025,7506,511
10,2008,6504,866
10,2009,7710,706
10,2010,7588,808
10,2011,7011,981
10,2012,7351,838
10,2013,7965,823
10,2014,8480,869
10,2015,9221,882
10,2016,8918,1004
10,2017,7741,1016
10,2018,6431,1169
10,2019,5906,1522
10,2020,7318,1400
10,2021,6218,2102
10,2022,5524,2516
10,2023,5646,1710
10,2024,6132,1202
10,2025,6694,1302
11,2008,11264,1458
11,2009,14385,1183
11,2010,13724,1223
11,2011,12446,1519
11,2012,12611,1551
11,2013,13944,1441
11,2014,14710,1288
11,2015,16130,1490
11,2016,15472,1629
11,2017,13758,1900
11,2018,11900,2422
11,2019,11113,3304
11,2020,14651,3093
11,2021,12238,3784
11,2022,10710,4328
11,2023,11375,3112
11,2024,12372,1994
11,2025,13931,1726
12,2008,10337,774
12,2009,12062,552
12,2010,10850,614
12,2011,10098,748
12,2012,10933,768
12,2013,11753,786
12,2014,11864,770
12,2015,12684,694
12,2016,12816,847
12,2017,12061,888
12,2018,10296,1065
12,2019,9429,1291
12,2020,11746,1111
12,2021,10138,1512
12,2022,9096,1937
12,2023,9399,1598
12,2024,9846,806
12,2025,10820,745
13,2008,13464,1331
13,2009,16204,902
13,2010,15997,1183
13,2011,15314,1086
13,2012,16303,1034
13,2013,18572,977
13,2014,20779,988
13,2015,21894,1112
13,2016,20995,1344
13,2017,17411,1477
13,2018,14921,2024
13,2019,14244,2552
13,2020,18234,2183
13,2021,16404,3014
13,2022,14342,3665
13,2023,15168,1934
13,2024,16249,1649
13,2025,17668,1638
14,2008,6143,1162
14,2009,8855,908
14,2010,8070,1020
14,2011,6980,1333
14,2012,7298,1307
14,2013,8310,1323
14,2014,9017,1372
14,2015,9836,1371
14,2016,9475,1404
14,2017,7915,1547
14,2018,6449,2001
14,2019,6021,2524
14,2020,8371,2391
14,2021,6428,3444
14,2022,5543,3853
14,2023,5749,2421
14,2024,6533,1517
14,2025,7275,1342
15,2008,4004,1339
15,2009,5664,981
15,2010,5747,1051
15,2011,4894,1262
15,2012,4949,1168
15,2013,5826,1182
15,2014,6426,1151
15,2015,7095,1098
15,2016,7639,978
15,2017,6637,1266
15,2018,5339,1637
15,2019,4900,1698
15,2020,7882,1533
15,2021,5554,2182
15,2022,4442,4078
15,2023,4783,2451
15,2024,5448,1254
15,2025,6072,977
16,2008,2217,460
16,2009,2912,381
16,2010,2648,473
16,2011,2440,505
16,2012,2594,371
16,2013,2819,388
16,2014,3142,373
16,2015,3315,382
16,2016,3370,389
16,2017,2939,417
16,2018,2389,544
16,2019,2250,622
16,2020,3023,801
16,2021,2666,1194
16,2022,2303,1306
16,2023,2511,1109
16,2024,2599,873
16,2025,2881,603
17,2008,17501,1868
17,2009,22297,1711
17,2010,21295,1807
17,2011,19948,2163
17,2012,21348,2133
17,2013,25018,2000
17,2014,26969,2086
17,2015,28595,2281
17,2016,27367,2394
17,2017,24531,2926
17,2018,20077,3404
17,2019,18799,4538
17,2020,24924,4295
17,2021,21549,5955
17,2022,18707,7046
17,2023,21005,5131
17,2024,22639,3338
17,2025,24465,2734
18,2008,4728,382
18,2009,5307,327
18,2010,4775,323
18,2011,4303,339
18,2012,4343,360
18,2013,5187,338
18,2014,5774,331
18,2015,5675,421
18,2016,5127,467
18,2017,4333,470
18,2018,3700,651
18,2019,3303,849
18,2020,3780,912
18,2021,3256,1193
18,2022,2826,1262
18,2023,2803,1037
18,2024,3077,662
18,2025,3335,481
19,2008,10355,1673
19,2009,12188,1191
19,2010,11500,1373
19,2011,10678,1300
19,2012,11110,1202
19,2013,12716,1103
19,2014,13635,1271
19,2015,13907,1470
19,2016,13323,1600
19,2017,11626,2044
19,2018,9750,2170
19,2019,8936,2641
19,2020,11882,2087
19,2021,10155,3447
19,2022,8404,5050
19,2023,8074,4181
19,2024,7855,3086
19,2025,8630,3163
21,2008,272,248
21,2009,373,197
21,2010,422,153
21,2011,394,201
21,2012,445,194
21,2013,495,193
21,2014,579,185
21,2015,552,225
21,2016,526,237
21,2017,545,237
21,2018,526,293
21,2019,520,311
21,2020,1401,185
21,2021,1027,287
21,2022,661,380
21,2023,618,361
21,2024,676,338
21,2025,777,296